step,key,field_type,is_must,label,options,helptext
BASIC,job_title,text_input,1,Job Title,,Bitte den exakten Jobtitel angeben
BASIC,employment_type,selectbox,1,Employment Type,"Full-time;Part-time;Freelance;Internship;Werkstudent;Praktikum;Mini-Job;Other",Beschäftigungsart auswählen
BASIC,contract_type,selectbox,1,Contract Type,"Permanent;Temporary;Fixed-Term;Freelancer;Project;Aushilfe;Werkvertrag;Zeitarbeit",Vertragsart auswählen
BASIC,seniority_level,selectbox,1,Seniority Level,"Junior;Professional;Senior;Lead;Head;C-Level;Student;Intern",Karrierestufe auswählen
BASIC,date_of_employment_start,date_input,0,Start Date Target,,Geplantes Startdatum
BASIC,work_schedule,selectbox,0,Work Schedule,"Full-time;Part-time;Flexitime;Shift;Weekend;Night;Remote;Hybrid",Arbeitszeitmodell auswählen
BASIC,work_location_city,text_input,1,Work Location City,,Arbeitsort (Stadt)
COMPANY,company_name,text_input,1,Company Name,,Firmenname
COMPANY,city,text_input,1,Company City,,Stadt (Sitz der Firma)
COMPANY,company_size,selectbox,0,Company Size,"1-10;11-50;51-200;201-500;501-1000;1001-5000;5001+",Unternehmensgröße auswählen
COMPANY,industry,selectbox,0,Industry,"IT;Consulting;Finance;Healthcare;Manufacturing;Retail;Automotive;Construction;Media;Other",Branche auswählen
COMPANY,headquarters_location,text_input,0,Headquarters Location,,Hauptsitz
COMPANY,place_of_work,text_input,0,Place of Work,,Genaue Arbeitsstätte
COMPANY,company_website,text_input,0,Company Website,,Firmenwebsite (URL)
DEPARTMENT,department_name,text_input,0,Department Name,,Abteilung
DEPARTMENT,brand_name,text_input,0,Brand Name,,Marke
DEPARTMENT,team_size,selectbox,0,Team Size,"1-2;3-5;6-10;11-20;21-50;50+",Teamgröße
DEPARTMENT,team_structure,text_area,0,Team Structure,,Teamaufbau/Struktur
DEPARTMENT,direct_reports_count,number_input,0,Direct Reports,,Anzahl direkter Reports
DEPARTMENT,reports_to,text_input,0,Reports To,,Vorgesetzter
DEPARTMENT,supervises,checkbox,0,Supervises,,Hat Führungsverantwortung
DEPARTMENT,tech_stack,text_area,0,Tech Stack,,Verwendete Technologien/Tools
DEPARTMENT,culture_notes,text_area,0,Culture Notes,,Kulturelle Besonderheiten
DEPARTMENT,team_challenges,text_area,0,Team Challenges,,Herausforderungen im Team
DEPARTMENT,client_difficulties,text_area,0,Client Difficulties,,Schwierigkeiten mit Kunden
DEPARTMENT,main_stakeholders,text_area,0,Main Stakeholders,,Wichtigste Stakeholder
DEPARTMENT,team_motivation,text_area,0,Team Motivation,,Was motiviert das Team?
DEPARTMENT,recent_team_changes,text_area,0,Recent Team Changes,,Kürzliche Teamänderungen
DEPARTMENT,office_language,selectbox,0,Office Language,"Deutsch;Englisch;Französisch;Italienisch;Spanisch;Other",Bürosprache
DEPARTMENT,office_type,selectbox,0,Office Type,"Open Space;Einzelbüro;Remote;Hybrid;Home Office",Bürotyp
ROLE,role_description,text_area,1,Role Description,,Stellenbeschreibung / Aufgabenstellung
ROLE,role_type,selectbox,0,Role Type,"Technical;Non-Technical;Leadership;Operational;Project-based;Consultant",Rollenart
ROLE,role_keywords,text_area,0,Role Keywords,,Schlagworte zur Rolle
